,OTU,Hub Score,ReferenceStatus,Level,Primer
208,935d45b69ce6558b28fdd28d6dbe47ce,0.551241262,physeq_Reference,Species,asv18S
209,1b4b8824c897af2fe7b8d75a30b56cfc,0.535017974,physeq_Reference,Species,asv18S
210,110ad84d1e45addf66863ec06cf120dc,0.519669077,physeq_Reference,Species,asv18S
211,e446c88257d61be230cd910113161fb0,0.501914899,physeq_Reference,Species,asv18S
212,dbc1082a874a94772a2a0c3e344035dc,0.488448479,physeq_Reference,Species,asv18S
213,513778084430398befe862f400e8f3f0,0.47963487,physeq_Reference,Species,asv18S
214,1f079d7b67ef5c3d37d812f0e7e70e06,0.459617942,physeq_Reference,Species,asv18S
215,3869d8ffa0ac1427ae33c17e938d69ab,0.453548703,physeq_Reference,Species,asv18S
216,110ad84d1e45addf66863ec06cf120dc,1,physeq_Intermediate,Species,asv18S
217,c8080e289c7ea45342712bf3a64bdaea,0.842320514,physeq_Intermediate,Species,asv18S
218,122d5fca6f1a00caa9fffb252705f14f,0.524858163,physeq_Intermediate,Species,asv18S
219,1f826ba90f5806534b71e997883cdef8,0.197089556,physeq_Intermediate,Species,asv18S
220,b2fac275e410e2891e709a60c5a1d543,0.194355625,physeq_Intermediate,Species,asv18S
221,9bee6ad0b890af5c45bb9afd88d25d89,0.19146663,physeq_Intermediate,Species,asv18S
222,9822a8787cce09b0e4e31e64201945b8,0.137984675,physeq_Intermediate,Species,asv18S
223,fd37e951fa4a636d5df3af057baf9f5b,0.093333947,physeq_Intermediate,Species,asv18S
224,fae1404061c835d134ada436011790ba,0.077886329,physeq_Intermediate,Species,asv18S
225,cb869912ad70744600b369994f683653,0.045716808,physeq_Intermediate,Species,asv18S
226,2e18592fe68676b279827ab97e96b92f,1,physeq_Stressed,Species,asv18S
227,c766e28c8b9f551c0464fc73c5cba8eb,0.947167519,physeq_Stressed,Species,asv18S
228,b3c0cc91bcfc16ad7c101204c16ec57c,0.340912219,physeq_Stressed,Species,asv18S
229,5304ae14f76c2d3a3010108cedb55b7a,0.30410204,physeq_Stressed,Species,asv18S
230,9bee6ad0b890af5c45bb9afd88d25d89,0.278605476,physeq_Stressed,Species,asv18S
231,f70e24b2925897ab13900ee3a412fb97,0.185637026,physeq_Stressed,Species,asv18S
232,13bfd52454f5d5e6ae991858cb5958ef,0.073284116,physeq_Stressed,Species,asv18S
233,80dddae4f872f22af24446179d911208,0.063568313,physeq_Stressed,Species,asv18S
234,9872b09eee8d9c0ef23c9bc9337cdccc,0.057565192,physeq_Stressed,Species,asv18S
235,d7aa34b3249fa3da0a5c2229880d0d33,0.044769011,physeq_Stressed,Species,asv18S
236,7b74762f1d55d8a488ff65bba03a3617,1,physeq_Reference,Species,asv16S
237,ffe9acf8331163fafec12ef7c4629822,0.80063224,physeq_Reference,Species,asv16S
238,a61dc6f3c78e07d92bad5c961340cec9,0.508076027,physeq_Reference,Species,asv16S
239,edd9d9c38f84b492ea175d40df196ee4,0.296265941,physeq_Reference,Species,asv16S
240,54a359219fcb99fcf224ce428621d805,0.287760498,physeq_Reference,Species,asv16S
241,7698239aa91b77bb25220d43a4d345e4,0.212718837,physeq_Reference,Species,asv16S
242,99f7e8b12216db7ba1db8920af194ac9,0.195789615,physeq_Reference,Species,asv16S
243,ae87f76694889584b75ee6dac1e92267,0.175866331,physeq_Reference,Species,asv16S
244,b47688ff6e4bb76265ddc6d733471df5,0.166636918,physeq_Reference,Species,asv16S
245,a2c71b43b9df48fb274e52fb0d23ee21,0.063437431,physeq_Reference,Species,asv16S
246,edd9d9c38f84b492ea175d40df196ee4,1,physeq_Intermediate,Species,asv16S
247,7b74762f1d55d8a488ff65bba03a3617,0.844314577,physeq_Intermediate,Species,asv16S
248,a61dc6f3c78e07d92bad5c961340cec9,0.549665738,physeq_Intermediate,Species,asv16S
249,54a359219fcb99fcf224ce428621d805,0.341418261,physeq_Intermediate,Species,asv16S
250,a2c71b43b9df48fb274e52fb0d23ee21,0.169030905,physeq_Intermediate,Species,asv16S
251,b47688ff6e4bb76265ddc6d733471df5,0.146814014,physeq_Intermediate,Species,asv16S
252,99f7e8b12216db7ba1db8920af194ac9,0.04313728,physeq_Intermediate,Species,asv16S
253,2b6763c13bceee678e885a43c7733962,0.027170815,physeq_Intermediate,Species,asv16S
254,7bc2aef06f79fa91db762f8b7c1f7e04,0.003935145,physeq_Intermediate,Species,asv16S
255,b26520dd2e99bd3c7bff3aa35872e189,0.002246388,physeq_Intermediate,Species,asv16S
256,15c1c3c6b3755a72c95a9cdc9ec5ad28,1,physeq_Stressed,Species,asv16S
257,7bc2aef06f79fa91db762f8b7c1f7e04,0.858230162,physeq_Stressed,Species,asv16S
258,ae87f76694889584b75ee6dac1e92267,0.594114381,physeq_Stressed,Species,asv16S
259,3f2c25846819535f96bbe254f03bc79d,0.591124656,physeq_Stressed,Species,asv16S
260,2b6763c13bceee678e885a43c7733962,0.58054861,physeq_Stressed,Species,asv16S
261,f2b6b3a47a58b4765bd0ccadc9605f74,0.570422944,physeq_Stressed,Species,asv16S
262,4ff071500920dd53a0a8b820cedc2b19,0.099733562,physeq_Stressed,Species,asv16S
263,b7ccde1599e7fd17c335ea4680f574e2,0.093457377,physeq_Stressed,Species,asv16S
264,28e260728976404c3e3e1ef2357c68a6,0.004591925,physeq_Stressed,Species,asv16S
265,65c869a5a2a86bf0cf1f1ed5f4c948bd,7.11E-16,physeq_Stressed,Species,asv16S
