,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
319,asv16S,Genus,physeq_Reference,50,62,188,188,0,Inf,1,0,1.815691158,0.429278101,6.064516129,0.27183781,0.276833008
320,asv16S,Genus,physeq_Reference,50,78,263,259,4,64.75,0.984790875,0.015209125,2.039354188,0.529208663,6.743589744,0.31145224,0.380869565
321,asv16S,Genus,physeq_Reference,50,74,229,223,6,37.16666667,0.973799127,0.026200873,2.175813953,0.576209159,6.189189189,0.340492761,0.413312693
322,asv16S,Genus,physeq_Reference,50,85,357,348,9,38.66666667,0.974789916,0.025210084,2.79965358,0.507870935,8.4,0.353032406,0.435262049
323,asv16S,Genus,physeq_Reference,50,64,203,202,1,202,0.995073892,0.004926108,1.6996997,0.393552472,6.34375,0.321534222,0.356198347
324,asv16S,Genus,physeq_Reference,50,66,189,187,2,93.5,0.989417989,0.010582011,1.963163597,0.437531503,5.727272727,0.290933668,0.272880879
325,asv16S,Genus,physeq_Reference,50,76,279,275,4,68.75,0.985663082,0.014336918,1.763636364,0.459065233,7.342105263,0.337291877,0.358157199
326,asv16S,Genus,physeq_Reference,50,58,153,153,0,Inf,1,0,1.768939394,0.555720543,5.275862069,0.279456541,0.334661355
327,asv16S,Genus,physeq_Reference,50,75,266,262,4,65.5,0.984962406,0.015037594,2.508567512,0.455875266,7.093333333,0.358495154,0.367813953
328,asv16S,Genus,physeq_Reference,50,46,123,123,0,Inf,1,0,1.756916996,0.442220823,5.347826087,0.282398072,0.257497415
329,asv16S,Genus,physeq_Reference,50,72,290,286,4,71.5,0.986206897,0.013793103,2.171143515,0.400791664,8.055555556,0.302332752,0.34491615
330,asv16S,Genus,physeq_Reference,50,56,133,133,0,Inf,1,0,1.759124088,0.542918615,4.75,0.252351123,0.25
331,asv16S,Genus,physeq_Reference,50,63,184,182,2,91,0.989130435,0.010869565,1.736311239,0.440426154,5.841269841,0.269329463,0.286096257
332,asv16S,Genus,physeq_Reference,50,50,113,113,0,Inf,1,0,1.83480826,0.428254029,4.52,0.231024078,0.154887218
